,loss,accuracy,val_loss,val_accuracy
0,1.438968778,0.785063744,0.861644387,0.930147052
1,1.147653103,0.817850649,0.579136908,0.948529422
2,0.885649443,0.861566484,0.423004597,0.95588237
3,0.73182869,0.877049208,0.311972529,0.959558845
4,0.651188076,0.858834267,0.243047833,0.970588207
5,0.575027525,0.862477243,0.206038237,0.977941155
6,0.246826947,0.937158465,0.049318567,0.992647052
7,0.227943152,0.94262296,0.054744851,0.992647052
8,0.203875154,0.950819671,0.048303653,0.988970578
9,0.221409291,0.945355177,0.047002211,0.996323526
10,0.225167692,0.931693971,0.047387712,0.992647052
11,0.202533185,0.94262296,0.043014947,0.992647052
12,0.195977598,0.945355177,0.04487621,0.988970578
13,0.18662259,0.948998153,0.042105168,0.992647052
14,0.177065551,0.955373406,0.041725412,0.988970578
15,0.206637323,0.95173043,0.039251983,0.996323526
16,0.162612006,0.958105624,0.039854489,0.992647052
17,0.147071272,0.96174866,0.036976293,0.992647052
18,0.155289546,0.953551888,0.035399809,0.992647052
19,0.163523942,0.959927142,0.03558128,0.992647052
20,0.149527282,0.96174866,0.034161091,0.992647052
21,0.246826947,0.937158465,0.049318567,0.992647052
22,0.227943152,0.94262296,0.054744851,0.992647052
23,0.203875154,0.950819671,0.048303653,0.988970578
24,0.221409291,0.945355177,0.047002211,0.996323526
25,0.225167692,0.931693971,0.047387712,0.992647052
26,0.202533185,0.94262296,0.043014947,0.992647052
27,0.195977598,0.945355177,0.04487621,0.988970578
28,0.18662259,0.948998153,0.042105168,0.992647052
29,0.177065551,0.955373406,0.041725412,0.988970578
30,0.206637323,0.95173043,0.039251983,0.996323526
31,0.162612006,0.958105624,0.039854489,0.992647052
32,0.147071272,0.96174866,0.036976293,0.992647052
33,0.155289546,0.953551888,0.035399809,0.992647052
34,0.163523942,0.959927142,0.03558128,0.992647052
35,0.149527282,0.96174866,0.034161091,0.992647052
36,0.160248309,0.959927142,0.034688301,0.996323526
37,0.153948292,0.949908912,0.034001797,0.996323526
38,0.1287155,0.976213094,0.03314504,0.996323526
